Transaction_ID,Customer_ID,Name,City,State,Zipcode,Country,Age,Gender,Income,Customer_Segment,Date,Year,Month,Total_Purchases,Amount,Total_Amount,Product_Category,Product_Brand,Product_Type,Feedback,Shipping_Method,Payment_Method,Order_Status,Ratings
6592641,10001,"Miss Kristen Ingram",Portsmouth,England,88498,UK,19,Male,Medium,Regular,3/15/2023,2023,March,3,122.49,367.46,Grocery,Coca-Cola,"Soft Drink",Bad,Express,Cash,Delivered,1
9185879,10010,"Ryan Smith",Portsmouth,England,72512,UK,32,Female,Low,Regular,9/24/2023,2023,September,8,178.66,1429.32,Clothing,Zara,Shirt,Excellent,Same-Day,"Debit Card",Delivered,4
7913730,10015,"Ryan Weber",Portsmouth,England,19023,UK,19,Female,Medium,Regular,7/9/2023,2023,July,3,185.25,555.76,Clothing,Adidas,Jacket,Good,Express,"Debit Card",Delivered,4
3422673,10017,"Paula Perkins",Portsmouth,England,32148,UK,21,Female,Medium,Regular,8/3/2023,2023,August,10,160.61,1606.07,Books,HarperCollins,Fiction,Average,Express,Cash,Pending,2
6785041,10019,"John King",Portsmouth,England,58006,UK,21,Male,Medium,Regular,3/27/2023,2023,March,3,223.85,671.55,Electronics,Samsung,Smartphone,Good,Standard,"Debit Card",Pending,4
7057073,10028,"Theresa Nielsen",Portsmouth,England,82461,UK,19,Male,Medium,Regular,2/7/2024,2024,February,4,243.94,975.74,Books,"Penguin Books",Fiction,Excellent,Same-Day,"Debit Card",Delivered,5
3548392,10032,"Deborah Alvarado",Portsmouth,England,64880,UK,24,Male,Medium,Regular,1/31/2024,2024,January,8,439.95,3519.61,"Home Decor","Bed Bath & Beyond",Bathroom,Excellent,Same-Day,"Debit Card",Delivered,4
2335714,10034,"Zachary Allen",Portsmouth,England,22509,UK,55,Female,High,Regular,8/16/2023,2023,August,6,197.79,1186.76,Grocery,Nestle,Chocolate,Average,Standard,Cash,Delivered,2
5056596,10037,"Robert Wilson",Portsmouth,England,20966,UK,19,Male,Medium,Regular,10/3/2023,2023,October,2,98.31,196.62,Grocery,Pepsi,"Soft Drink",Bad,Same-Day,Cash,Delivered,1
2749337,10040,"John Reyes",Portsmouth,England,31753,UK,24,Male,Medium,Regular,8/12/2023,2023,August,6,39.78,238.67,Books,"Random House",Fiction,Good,Express,"Credit Card",Processing,4
5696774,10053,"Kayla Wood",Portsmouth,England,97842,UK,21,Male,High,Regular,9/14/2023,2023,September,10,423.48,4234.84,Clothing,Zara,Dress,Average,Same-Day,"Credit Card",Pending,2
8547784,10061,,Portsmouth,England,16360,UK,24,Male,Medium,Regular,4/12/2023,2023,April,7,161.38,1129.64,Grocery,Nestle,Chocolate,Good,Same-Day,PayPal,Delivered,3
7564609,10062,"Alice Gonzalez",Portsmouth,England,21492,UK,19,Female,Medium,Regular,1/8/2024,2024,January,1,419.67,419.67,Grocery,Coca-Cola,Water,Good,Express,"Credit Card",Processing,4
7245377,10086,"Cole Gibbs",Portsmouth,England,14763,UK,19,Male,Medium,Regular,11/20/2023,2023,November,2,465.23,930.46,Grocery,Coca-Cola,"Soft Drink",Good,Express,"Credit Card",Processing,4
6974710,10089,"Vincent Mcmillan",Portsmouth,England,7957,UK,21,Male,Medium,Regular,5/9/2023,2023,May,3,224.03,672.08,"Home Decor",IKEA,Lighting,Excellent,Standard,"Debit Card",Delivered,5
4891356,10091,"Matthew Miller",Portsmouth,England,28857,UK,21,Female,Medium,Regular,12/18/2023,2023,December,7,309.13,2163.94,Grocery,Coca-Cola,Water,Average,Express,"Credit Card",Pending,2
6432207,10099,"Robert Jordan",Portsmouth,England,19974,UK,24,Female,Medium,Regular,10/5/2023,2023,October,5,93.26,466.29,Grocery,Coca-Cola,Water,Excellent,Express,"Credit Card",Processing,4
